studentid,gender,agegroup,continent,background
1040165,M,25,Europe,A
1040166,M,25,Unknown,A
1040167,M,45,Unknown,C
1040168,M,18,Asia,C
1040169,M,18,North America,D
1040170,M,18,Unknown,C
1040171,M,35,Africa,A
1040172,M,18,Unknown,D
1040173,M,18,North America,A
1040174,M,35,Asia,A
1040175,F,25,Asia,C
1040176,M,0,Africa,C
1040177,M,18,Africa,B
1040178,M,45,North America,A
1040179,M,35,Asia,D
1040180,M,45,North America,D
1040181,M,25,Europe,D
1040182,F,18,Europe,B
1040183,F,25,South America,C
1040184,F,25,North America,B
1040185,M,18,Europe,B
1040186,M,18,Europe,B
1040187,M,25,North America,B
1040188,M,25,Europe,C
1040189,M,25,Europe,C
1040190,M,35,Unknown,B
1040191,M,25,South America,C
1040192,M,25,Africa,A
1040193,M,25,Europe,C
1040194,M,35,South America,B
1040195,M,55,Unknown,C
1040196,M,45,Asia,C
1040197,M,18,North America,A
1040198,F,18,Europe,A
1040199,M,18,North America,B
1040200,M,25,Europe,A
1040201,M,18,Unknown,B
1040202,M,18,North America,D
1040203,M,25,North America,B
1040204,M,18,North America,D
1040205,M,25,Asia,C
1040206,M,18,Asia,D
1040207,F,25,Europe,B
1040208,M,25,North America,A
1040209,F,18,North America,D
1040210,M,45,North America,C
1040211,M,25,North America,D
1040212,M,35,Unknown,D
1040213,M,25,Asia,D
1040214,M,25,Europe,D
1040215,M,18,North America,D
1040216,M,18,North America,B
1040217,M,18,South America,C
1040218,M,55,Asia,B
1040219,M,45,Unknown,A
1040220,M,18,North America,B
1040221,M,18,North America,D
1040222,M,18,North America,A
1040223,M,25,North America,C
1040224,M,25,Europe,A
1040225,F,18,Unknown,D
1040226,F,18,North America,C
1040227,F,25,North America,C
1040228,F,18,North America,D
1040229,M,18,North America,A
1040230,M,18,Europe,C
1040231,M,18,Asia,D
1040232,M,18,Africa,C
1040233,M,18,South America,C
1040234,F,18,Asia,C
1040235,M,45,North America,B
1040236,M,25,Europe,A
1040237,M,65,Africa,C
1040238,M,18,North America,B
1040239,M,35,Asia,A
1040240,M,35,Asia,C
1040241,F,25,North America,C
1040242,M,18,South America,D
1040243,M,18,North America,B
1040244,M,18,North America,C
1040245,M,25,Unknown,B
1040246,M,35,Asia,D
1040247,M,35,Asia,A
1040248,M,18,North America,C
1040249,M,25,Europe,C
1040250,M,18,North America,B
1040251,M,18,Europe,D
1040252,M,25,South America,A
1040253,M,18,North America,B
1040254,M,45,Europe,D
1040255,M,25,South America,C
1040256,M,35,Europe,A
1040257,M,45,North America,B
1040258,M,18,Asia,D
1040259,M,25,South America,A
1040260,M,35,North America,C
1040261,M,18,Unknown,B
1040262,F,18,North America,D
1040263,M,18,Europe,A
1040264,M,25,Unknown,C
1040265,M,35,North America,B
1040266,M,45,North America,B
1040267,M,18,Asia,C
1040268,M,18,North America,B
1040269,M,18,North America,C
1040270,M,18,North America,A
1040271,M,25,North America,C
1040272,M,55,North America,A
1040273,M,18,North America,D
1040274,M,35,Unknown,D
1040275,M,18,North America,B
1040276,F,25,North America,A
1040277,M,25,North America,D
1040278,M,45,Asia,C
1040279,M,35,North America,C
1040280,M,35,Europe,C
1040281,M,18,Unknown,D
1040282,M,25,North America,C
1040283,M,18,Europe,D
1040284,M,35,Europe,C
1040285,M,35,Europe,D
1040286,M,25,Europe,A
1040287,F,18,North America,A
1040288,M,18,South America,C
1040289,M,25,Unknown,C
1040290,M,45,North America,C
1040291,M,18,Asia,D
1040292,F,35,Europe,D
1040293,M,25,Asia,C
1040294,M,18,Asia,D
1040295,M,25,Australia,C
1040296,M,25,Unknown,C
1040297,M,25,North America,D
1040298,M,35,North America,D
1040299,F,18,North America,B
1040300,M,35,Unknown,C
1040301,M,18,Unknown,C
1040302,M,35,Asia,C
1040303,F,35,Asia,D
1040304,M,18,North America,D
1040305,F,35,Unknown,C
1040306,M,18,Unknown,D
1040307,M,25,Unknown,B
1040308,F,35,Unknown,B
1040309,M,18,Asia,D
1040310,F,18,North America,A
1040311,M,25,South America,B
1040312,F,18,Europe,C
1040313,M,25,South America,D
